Symbol,Date,Open,High,Low,Close,Volume,Rise,industry
SPG,2022-10-21,98.12,101.07,97.28,101.04,2364600.0,-20.25,REIT—Retail
SPGI,2022-10-21,291.83,296.36,287.31,295.94,1740800.0,-23.92,Financial Data & Stock Exchanges
SRE,2022-10-21,140.66,143.55,139.46,142.28,1353600.0,-15.86,Utilities—Diversified
STE,2022-10-21,165.6,167.82,163.37,167.22,389900.0,-32.26,Medical Devices
STT,2022-10-21,64.89,69.31,64.48,69.12,3294800.0,-6.49,Asset Management
STX,2022-10-21,52.97,55.77,52.82,55.71,3434400.0,-33.22,Computer Hardware
STZ,2022-10-21,222.0,225.41,221.2,225.15,723700.0,-10.84,Beverages—Wineries & Distilleries
SWK,2022-10-21,72.54,74.12,71.6,73.95,1867900.0,-47.9,Tools & Accessories
SWKS,2022-10-21,81.07,84.59,80.87,84.14,1651600.0,-27.96,Semiconductors
SYF,2022-10-21,31.51,32.44,31.03,32.41,6706600.0,-17.51,Credit Services
SYK,2022-10-21,213.7,218.6,210.31,218.31,1562800.0,-18.87,Medical Devices
SYY,2022-10-21,77.45,80.28,76.93,80.05,2481800.0,-10.28,Food Distribution
T,2022-10-21,16.83,17.4,16.77,17.1,81032300.0,-14.26,Telecom Services
TAP,2022-10-21,48.42,49.34,48.2,49.16,954300.0,-10.74,Beverages—Brewers
TDG,2022-10-21,528.8,539.56,521.43,537.88,293600.0,-12.77,Aerospace & Defense
TDY,2022-10-21,341.65,352.0,340.82,350.48,468600.0,-26.89,Scientific & Technical Instruments
TECH,2022-10-21,282.92,284.56,276.39,283.29,318600.0,-31.13,Biotechnology
TEL,2022-10-21,110.71,115.19,110.41,114.89,1151500.0,-8.03,Electronic Components
TER,2022-10-21,74.18,77.44,73.73,77.27,2158500.0,-30.35,Semiconductor Equipment & Materials
TFC,2022-10-21,40.33,41.66,40.01,41.51,11680200.0,-18.69,Banks—Regional
TFX,2022-10-21,193.11,199.47,190.02,197.67,463100.0,-41.45,Medical Instruments & Supplies
